name,currency,capital,languages,latitude,longitude,area,region,subregion,borders,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,Gov. Budget,Debt/GDP,Current Account,Population
Tunisia,Tunisian dinar,Tunis,Arabic,34.0,9.0,163610.0,Africa,Northern Africa,"['DZA', 'LBY']",53,1.80,7.50,5.30,15.70,-6.60,79.80,-2.70,11.89
Vietnam,Vietnamese đồng,Hanoi,Vietnamese,16.16666666,107.83333333,331212.0,Asia,South-Eastern Asia,"['KHM', 'CHN', 'LAO']",476,6.88,4.50,3.19,2.24,-4.00,32.90,6.10,101.30
Ecuador,United States dollar,Quito,Spanish,-2.0,-77.5,276841.0,Americas,South America,"['COL', 'PER']",125,3.46,8.50,0.72,4.50,-1.90,50.60,2.80,17.97
Puerto Rico,United States dollar,San Juan,English,18.25,-66.5,8870.0,Americas,Caribbean,,126,,,1.20,5.70,,,,3.20
United States,United States dollar,"Washington, D.C.",English,38.0,-97.0,9372610.0,Americas,North America,"['CAN', 'MEX']",29185,3.00,4.50,2.70,4.20,-6.40,124.30,-3.90,341.15
Israel,Israeli new shekel,Jerusalem,Arabic,31.47,35.13,20770.0,Asia,Western Asia,"['EGY', 'JOR', 'LBN', 'PSE', 'SYR']",540,0.90,4.50,3.10,3.00,-6.80,69.00,3.20,9.97
United Kingdom,British pound,London,English,54.0,-2.0,242900.0,Europe,Northern Europe,['IRL'],3644,0.30,4.00,3.80,4.70,-4.80,95.90,-2.70,69.23
Myanmar,Burmese kyat,Naypyidaw,Burmese,22.0,98.0,676578.0,Asia,South-Eastern Asia,"['BGD', 'CHN', 'IND', 'LAO', 'THA']",74,,9.00,28.58,3.00,-5.70,61.30,-5.50,54.50
Poland,Polish złoty,Warsaw,Polish,52.0,20.0,312679.0,Europe,Central Europe,"['BLR', 'CZE', 'DEU', 'LTU', 'RUS', 'SVK', 'UKR']",915,0.80,5.00,3.10,5.20,-6.60,55.30,0.00,36.50
Afghanistan,Afghan afghani,Kabul,Dari,33.0,65.0,652230.0,Asia,Southern Asia,"['IRN', 'PAK', 'TKM', 'UZB', 'TJK', 'CHN']",17,,14.94,0.20,13.30,-4.80,8.30,-17.30,35.70
Kenya,Kenyan shilling,Nairobi,English,1.0,38.0,580367.0,Africa,Eastern Africa,"['ETH', 'SOM', 'SSD', 'TZA', 'UGA']",125,0.80,9.50,4.10,5.40,-4.90,65.50,-3.60,52.40
Angola,Angolan kwanza,Luanda,Portuguese,-12.5,18.5,1246700.0,Africa,Middle Africa,"['COG', 'COD', 'ZMB', 'NAM']",80,2.30,19.50,19.48,29.40,-1.50,58.20,5.40,35.12
Bhutan,Bhutanese ngultrum,Thimphu,Dzongkha,27.5,90.5,38394.0,Asia,Southern Asia,"['CHN', 'IND']",3,,6.38,3.65,3.60,-0.20,107.78,-21.70,0.78
Malta,Euro,Valletta,English,35.9375,14.3754,316.0,Europe,Southern Europe,,24,2.10,2.15,2.50,2.70,-3.70,47.40,5.70,0.57
Russia,Russian ruble,Moscow,Russian,60.0,100.0,17098242.0,Europe,Eastern Europe,"['AZE', 'BLR', 'CHN', 'EST', 'FIN', 'GEO', 'KAZ', 'PRK', 'LVA', 'LTU', 'MNG', 'NOR', 'POL', 'UKR']",2174,-0.80,18.00,8.80,2.20,-1.70,16.40,2.90,146.20
Nepal,Nepalese rupee,Kathmandu,Nepali,28.0,84.0,147181.0,Asia,Southern Asia,"['CHN', 'IND']",43,,6.00,2.72,10.70,-9.00,42.60,5.20,29.65
Iraq,Iraqi dinar,Baghdad,Arabic,33.0,44.0,438317.0,Asia,Western Asia,"['IRN', 'JOR', 'KWT', 'SAU', 'SYR', 'TUR']",280,,5.50,-0.60,15.50,-1.50,42.90,-1.90,46.04
Sudan,Sudanese pound,Khartoum,Arabic,15.0,30.0,1886068.0,Africa,Northern Africa,"['CAF', 'TCD', 'EGY', 'ERI', 'ETH', 'LBY', 'SSD']",50,,28.30,146.60,20.80,-3.20,272.00,-5.50,50.45
Djibouti,Djiboutian franc,Djibouti,Arabic,11.5,43.0,23200.0,Africa,Eastern Africa,"['ERI', 'ETH', 'SOM']",4,,11.20,-0.60,25.90,-0.50,45.00,6.20,1.17
Mozambique,Mozambican metical,Maputo,Portuguese,-18.25,35.0,801590.0,Africa,Eastern Africa,"['MWI', 'ZAF', 'SWZ', 'TZA', 'ZMB', 'ZWE']",22,2.00,10.25,3.96,25.04,-5.00,76.90,-11.10,33.24
South Africa,South African rand,Pretoria,Afrikaans,-29.0,24.0,1221037.0,Africa,Southern Africa,"['BWA', 'LSO', 'MOZ', 'NAM', 'SWZ', 'ZWE']",400,0.10,7.00,3.50,33.20,-5.00,76.90,-0.60,63.02
Liechtenstein,Swiss franc,Vaduz,German,47.26666666,9.53333333,160.0,Europe,Western Europe,"['AUT', 'CHE']",8,,,0.20,1.60,,,,0.04
